Filename,(Real)Time_Start,(Real)Time_End,Duration,NumSyllables,Intensity,Jitter(local),Shimmer(local),HNR,AlphaRatio,Mean_f0,Sd_f0,Max_F0,speakingrate,articulationrate,npause,asd,Mean_f0_Interval_1,Mean_f0_Interval_2,Mean_f0_Interval_3,Mean_f0_Interval_4,Mean_f0_Interval_5,Mean_f0_Interval_6,Mean_f0_Interval_7,Mean_f0_Interval_8,Mean_f0_Interval_9,Mean_f0_Interval_10,Mean_f0_Interval_11,Mean_f0_Interval_12,Mean_f0_Interval_13,Mean_f0_Interval_14,Mean_f0_Interval_15
natural_user10_passage,0,21.3,21.3,,56.64999546705795,0.07170888850082931,0.1586665171363054,4.423190416557662,3.86315422709893,240.98117418637878,107.20477887512779,342.99855279692486,1.17,1.72,10,0.581,--undefined--,--undefined--,--undefined--,278.9960210044317,278.9960210044317,278.9960210044317,281.2397112346591,281.2397112346591,281.2397112346591,281.2397112346591,241.26484251888812,241.26484251888812,241.26484251888812,241.26484251888812,241.26484251888812
natural_user11_passage,0,36.48,36.48,,69.89274241075124,0.016385885616767692,0.0990262347159039,14.172516356067538,7.896044437127692,199.1597005921583,30.352804977909912,342.85496515827145,3.34,4.43,8,0.226,--undefined--,226.58019113458624,211.53867252219132,217.91851695573348,211.18335945091442,210.70609757815123,208.7602957612179,205.76857608559342,205.38346207058203,204.5005716347401,203.12306702840505,202.33527752458284,201.44598367805122,201.1288416752841,199.0922773313691
natural_user12_passage,0,33.54,33.54,,71.03042512210405,0.025295726478825987,0.1319228906051558,12.458554183896911,11.480880778240268,205.0165423942732,43.94788495486345,359.1253328711033,4.17,5.52,15,0.181,255.75083900799174,224.1161848191494,214.24453887327263,212.9649544323336,208.97574456152861,210.46582851336805,211.9184460339066,210.53995922975142,209.2603148324773,209.45147365730122,206.90234045760718,205.7553126044619,206.7974914560735,207.66531598336343,205.10007784658507
natural_user14_passage,0,32.4,32.4,,54.9448901759211,0.03609108500948534,0.21074164936021572,6.134222236760794,11.19642439965064,174.36109783183983,41.98667380225231,345.691102736142,4.10,4.91,7,0.204,204.5493047125858,196.757912902345,178.2573924225089,181.38604658595813,179.43618146125272,176.08708051871855,174.036430407188,171.91753962983023,172.4690813246121,175.5193534030063,175.3610486672072,176.51074242453092,174.42744908362144,175.12571825349733,174.5839223474625
natural_user16_passage,0,41.4,41.4,,69.26814138991367,0.018854029654440916,0.11635440790778999,12.790814169182958,5.24389510152381,208.30695845940656,34.362542688046865,339.88078577502955,3.55,4.58,11,0.218,231.18431736765638,211.7436348886465,206.2787969618008,210.440185723388,210.48732318637528,210.63444267361595,210.47651964585836,205.28477023195245,208.79543409682313,208.0421124399986,208.7816042750679,208.7179727674371,209.7402526859568,208.9895287505569,208.34285627434505
natural_user17_passage,0,6.24,6.24,,68.72728463095852,0.012381351947367523,0.08574765654179112,9.603967156525595,0.24937709498398725,201.6196203429194,32.15594174591703,263.8915985382622,3.04,3.83,0,0.261,--undefined--,--undefined--,228.4495856993079,238.00887437950118,229.8124041389253,223.87143142908872,220.23167184767328,206.19853239912592,204.75997450268608,204.0795114278422,203.916321042855,203.34380322675167,204.23947387428672,201.4180246239079,201.43891811504002
natural_user1_passage,0,35.7,35.7,,69.2319268911024,0.020721472004855225,0.08940875917448028,15.05460757626893,12.444383694420992,188.66894036315279,33.39934836193974,310.2259844998143,3.47,4.45,10,0.225,--undefined--,210.8618600633397,194.79686549189333,197.80443503045038,195.1257395514327,194.46556119078807,191.80810689527553,192.7214226013192,190.43360553966525,190.5609687088911,188.62217232810778,190.06685342374578,190.06602368843028,190.0046114619541,188.64039709260473
natural_user3_passage,0,31.14,31.14,,68.91972425949564,0.018167965269195993,0.08181143284582161,16.580823866190048,13.492945821968105,183.88379818476724,42.35563063175137,273.10625187710207,3.76,4.54,9,0.220,225.9876840988244,206.83722238988116,205.87641528573107,203.72926407322612,199.08789822039554,198.38493641757518,195.72133159352143,192.2102406111474,189.35821990751867,185.9511116692106,183.59244341537703,184.34158016272713,185.91503591380135,184.80735700283049,184.05918526572788
natural_user44_passage,0,37.56,37.56,,70.06964388222607,0.018747006499497537,0.0890666780930875,14.65048616796701,10.483144181746287,219.32079158230772,37.963700526769216,355.22850899858474,3.59,4.47,12,0.224,230.94031993878716,230.49476183001389,229.19689861660237,227.260215561555,223.83479582206957,224.8387741627145,224.39328197632736,224.39677035824755,221.6467297207586,221.17660875085338,219.67363317007934,219.80436454862934,220.31504262655693,220.61546766976437,219.3927155857427
natural_user45_passage,0,36.68607709750567,36.68607709750567,,69.62496513541662,0.01770297323691861,0.10966268049033832,11.99233239007409,12.392572274899186,184.98213530666922,40.38342561283705,349.4617314314409,3.84,4.90,10,0.204,224.85919417021498,192.4390694109606,188.54764630164013,187.39843951735708,189.4408287265645,186.00018703351563,185.22803825950746,185.87179172338284,188.72971464085543,188.27891158859094,188.24239676686705,186.57519391899825,185.7683104371524,185.13640377780592,184.8794895958618
